,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Cedar City,1,US,1547009580,96,37.68,-113.06,30.92,4.7
375,Zhezkazgan,75,KZ,1547010000,92,47.8,67.71,12.2,2.24
376,Krumovgrad,12,BG,1547011899,83,41.47,25.65,20.23,6.91
377,Magadi,0,IN,1547010000,36,12.96,77.22,75.2,11.41
378,Kralendijk,92,BQ,1547009700,83,12.15,-68.27,77.0,9.17
379,Yumen,8,CN,1547011899,92,40.29,97.04,16.05,12.17
380,Pimentel,92,BR,1547011899,100,-3.7,-45.5,71.17,2.82
381,Takoradi,0,GH,1547011899,100,4.89,-1.75,79.32,6.58
382,Mattru,20,SL,1547011900,72,7.62,-11.83,71.13,2.33
383,Dublin,75,IE,1547010000,93,53.35,-6.26,41.0,9.17
384,Ossora,0,RU,1547011900,79,59.24,163.07,16.63,13.85
385,Kamloops,20,CA,1547011900,76,50.68,-120.34,16.5,1.99
386,Entre Rios,68,BR,1547011901,82,-11.94,-38.08,78.55,4.56
387,Fairbanks,90,US,1547009880,77,64.84,-147.72,-10.84,3.56
388,Merano,75,IT,1547011200,80,46.67,11.16,33.8,12.75
389,Talisay,40,PH,1547010000,66,10.25,123.85,84.2,17.22
390,Debre Birhan,0,ET,1547011901,30,9.68,39.53,54.66,1.7
391,Tokur,24,RU,1547011901,63,53.13,132.9,-5.33,2.37
392,Launceston,0,AU,1547010000,51,-41.43,147.14,68.0,16.11
393,Baherden,12,TM,1547011902,93,38.44,57.43,39.58,5.61
394,Tarabuco,32,BO,1547011902,99,-19.18,-64.92,53.13,2.37
395,Viedma,88,AR,1547011902,41,-40.81,-62.99,66.67,18.37
396,Badou,0,TG,1547011903,75,7.58,0.61,61.05,3.27
397,Rio Grande,92,BR,1547011849,96,-32.03,-52.1,75.27,11.77
398,Pati,0,IN,1547011904,50,29.41,79.94,58.12,2.26
399,Los Llanos de Aridane,0,ES,1547010000,67,28.66,-17.92,60.8,9.17
400,Conceicao do Mato Dentro,8,BR,1547011789,88,-19.04,-43.42,60.96,3.11
401,Saldanha,0,PT,1547011966,76,41.42,-6.55,20.91,2.77
402,Iwanai,64,JP,1547011966,100,42.97,140.51,30.45,23.58
403,Sasvad,0,IN,1547011966,44,18.33,74.03,77.97,4.9
404,Gupitan,48,PH,1547011966,57,7.78,125.64,80.85,8.63
405,Katobu,68,ID,1547011967,80,-4.94,122.53,87.28,4.56
406,Gimli,88,CA,1547011697,82,50.63,-96.99,9.7,14.67
407,Mayo,75,CA,1547010000,64,63.59,-135.9,-45.41,2.59
408,Juneau,1,US,1547009760,91,58.3,-134.42,23.0,3.36
409,Beroroha,36,MG,1547011968,99,-21.68,45.17,78.24,4.12
410,Codajas,92,BR,1547011968,99,-3.84,-62.06,73.78,3.38
411,Kalevala,88,FI,1547011968,89,64.12,29.58,20.19,3.56
412,Karacakoy,40,TR,1547009400,86,41.4,28.38,35.6,1.12
413,Polson,90,US,1547009700,71,47.69,-114.16,30.02,6.93
414,Tecoanapa,40,MX,1547008860,88,16.99,-99.26,78.8,4.7
415,Ha Giang,92,VN,1547011969,100,22.83,104.99,56.05,2.26
416,Mazagao,90,BR,1547010000,100,-0.12,-51.29,75.2,3.36
417,Mindelo,0,PT,1547010000,86,41.31,-8.72,39.2,3.36
418,मलिम ६६७,48,NP,1547011969,39,26.88,88.04,61.68,2.1
419,Guaymas,68,MX,1547011970,83,27.92,-110.9,53.49,4.05
420,Port Hedland,0,AU,1547010000,35,-20.31,118.58,104.0,14.99
421,Yinchuan,8,CN,1547011970,56,38.48,106.21,27.52,4.34
422,Mujiayingzi,8,CN,1547011970,19,42.12,118.78,29.77,8.3
423,Athabasca,0,CA,1547011940,56,54.72,-113.29,-12.53,3.89
424,Encarnacion,0,PY,1547006400,94,-27.34,-55.87,78.8,6.93
425,Meadville,90,US,1547009760,72,41.64,-80.15,39.02,10.29
426,College,90,US,1547009880,77,64.86,-147.8,-10.84,3.56
427,Port Hardy,90,CA,1547010000,93,50.7,-127.42,37.4,29.97
428,Sawtell,76,AU,1547010000,69,-30.38,153.1,82.4,16.11
429,Portland,90,US,1547009580,60,45.52,-122.67,46.94,10.29
430,Latnaya,90,RU,1547010000,92,51.66,38.9,19.4,2.24
431,Gazli,0,UZ,1547011972,93,40.13,63.45,39.27,8.41
432,Mosbach,75,DE,1547011200,75,49.35,9.15,41.0,11.41
433,Bull Savanna,56,JM,1547011972,89,17.89,-77.59,65.73,1.88
434,Maumere,44,ID,1547011973,100,-8.63,122.22,83.46,8.14
435,Buraydah,0,SA,1547006400,81,26.33,43.97,48.2,5.82
436,Isangel,24,VU,1547011973,100,-19.55,169.27,78.33,16.98
437,Kavieng,44,PG,1547011973,100,-2.57,150.8,83.1,9.08
438,Coahuayana,20,MX,1547011973,62,18.62,-100.35,64.15,3.89
439,Sumbuya,20,SL,1547011973,72,7.65,-11.96,71.13,2.33
440,Villamontes,80,BO,1547011974,72,-21.26,-63.47,72.93,4.23
441,Belmonte,0,PT,1547011974,81,40.36,-7.35,30.45,6.13
442,Ballina,56,IE,1547011974,100,54.11,-9.15,38.46,2.82
443,Portoferraio,0,IT,1547009700,80,42.81,10.31,39.2,6.93
444,Havre,90,US,1547009580,56,48.55,-109.68,21.02,13.87
445,Manta,0,RO,1547011975,68,45.1,24.1,6.55,2.71
446,Yerbogachen,48,RU,1547011685,58,61.28,108.01,4.98,6.73
447,Chipiona,44,PE,1547011975,95,-14.54,-75.2,49.62,1.99
448,Salalah,75,OM,1547009400,57,17.01,54.1,77.0,5.82
449,Champerico,5,MX,1547009220,64,16.38,-93.6,73.4,10.29
450,Aku,0,NG,1547012037,46,7.36,7.54,61.5,6.51
451,Manokwari,20,ID,1547012037,100,-0.87,134.08,81.39,10.6
452,Omsukchan,64,RU,1547012037,74,62.53,155.8,-26.57,2.71
453,Yeppoon,75,AU,1547010000,69,-23.13,150.74,80.6,11.41
454,Locri,75,IT,1547009700,87,38.24,16.26,51.8,3.36
455,Dersca,75,RO,1547010720,92,47.99,26.21,14.0,4.47
456,Tabou,36,CI,1547012038,98,4.42,-7.36,83.1,10.31
457,Aykhal,20,RU,1547012038,66,65.95,111.51,-16.18,2.82
458,Gambela,0,ET,1547012038,50,8.25,34.59,72.97,3.11
459,Turka,32,UA,1547012039,90,49.16,23.03,17.35,6.73
460,Mossendjo,88,CG,1547012039,99,-2.95,12.72,68.92,2.48
461,Dunedin,88,NZ,1547011956,60,-45.87,170.5,68.97,12.17
462,Chany,88,RU,1547012039,90,55.31,76.76,11.05,14.41
463,Bayji,0,IQ,1547012039,67,34.93,43.49,50.2,11.39
464,Saskatoon,5,CA,1547010000,76,52.13,-106.66,-11.21,6.93
465,Ishigaki,75,JP,1547010000,94,24.34,124.16,68.0,20.8
466,Remontnoye,90,RU,1547010000,92,46.56,43.66,15.8,13.42
467,Guiyang,90,CN,1547010000,93,26.58,106.71,44.6,4.47
468,Port Pirie,0,AU,1547010000,53,-33.18,138.01,73.4,25.28
469,Hare Bay,90,CA,1547010000,92,48.86,-53.99,15.8,9.17
470,Mataram,24,ID,1547012040,82,-5.32,105.06,82.65,2.89
471,Howard Springs,75,AU,1547010000,83,-12.5,131.05,80.6,17.22
472,Haines Junction,8,CA,1547012041,73,60.75,-137.51,-39.13,1.99
473,Laramie,1,US,1547009880,80,41.31,-105.59,23.0,5.82
474,Roebourne,0,AU,1547012041,15,-20.77,117.15,109.56,12.33
475,Narasannapeta,0,IN,1547012041,53,18.42,84.04,82.2,4.05
476,Gusau,8,NG,1547012041,35,12.17,6.66,55.47,11.43
477,Wanning,75,AT,1547011200,94,48.64,13.53,33.8,24.16
478,Kemi,90,FI,1547011200,84,65.74,24.56,8.6,8.05
479,Selikhino,32,RU,1547012042,77,50.37,137.51,4.75,10.83
480,Lyaskelya,80,RU,1547012042,94,61.77,31.02,25.23,2.48
481,Birin,76,SY,1547012043,86,35.01,36.67,40.62,17.31
482,Lumeje,80,AO,1547012043,92,-11.56,20.78,66.58,8.52
483,Ganzhou,92,CN,1547012043,94,25.86,114.93,46.65,3.56
484,Sattahip,40,TH,1547010000,62,12.67,100.9,86.0,9.17
485,Tawau,75,MY,1547010000,59,4.26,117.89,89.6,6.93
486,Maldonado,0,UY,1547010000,78,-34.91,-54.96,75.2,8.05
487,Strezhevoy,75,RU,1547010000,77,60.73,77.6,3.2,6.71
488,Kokuy,0,RU,1547012044,55,52.2,117.55,17.35,8.59
489,Acapulco,40,MX,1547008860,88,16.86,-99.88,78.8,4.7
490,Marsa Matruh,20,EG,1547006400,81,31.35,27.25,44.6,11.41
491,Luanda,75,AO,1547010000,83,-8.83,13.24,78.8,4.7
492,Pedra Branca,92,BR,1547012045,99,-5.46,-39.72,67.98,3.78
493,Zaysan,76,KZ,1547012106,75,47.47,84.87,18.7,3.27
494,Vodnyy,36,RU,1547012106,71,63.51,53.41,-10.55,2.89
495,Sao Joao do Piaui,88,BR,1547012107,68,-8.36,-42.25,73.6,8.14
496,Pathein,48,MM,1547012107,87,16.78,94.73,79.23,5.12
497,Livani,76,LV,1547012107,86,56.35,26.18,20.1,11.05
498,Cayenne,80,GF,1547010000,94,4.94,-52.33,73.4,6.73
499,Ranong,20,TH,1547010000,62,9.96,98.62,87.8,20.8
500,West Bay,0,GB,1547009400,100,50.71,-2.76,33.8,1.12
501,Dalvik,92,SE,1547009400,92,57.79,14.13,28.4,19.46
502,Cap Malheureux,40,MU,1547010000,70,-19.98,57.61,84.2,11.41
503,Karratha,0,AU,1547012108,15,-20.74,116.85,109.56,12.33
504,Salym,76,RU,1547012109,72,60.06,71.48,12.67,6.4
505,Beidao,32,CN,1547012109,59,34.57,105.89,32.47,8.59
506,Pacific Grove,90,US,1547010000,83,36.62,-121.92,59.0,5.82
507,Miandrivazo,80,MG,1547012109,90,-19.53,45.46,79.77,3.56
508,Jinka,0,ET,1547012109,30,5.79,36.57,69.6,2.33
509,Saint Anthony,1,US,1547009760,70,43.97,-111.68,21.92,8.05
510,Pangnirtung,40,CA,1547010000,74,66.15,-65.72,-27.41,4.7
511,Yining,92,CN,1547012110,100,29.04,114.56,39.81,1.03
512,Aksarka,56,RU,1547012110,47,66.56,67.8,-16.09,6.51
513,Kagalnitskaya,92,RU,1547012110,91,46.88,40.15,20.32,11.65
514,Gorontalo,20,ID,1547012110,62,0.54,123.06,85.8,4.38
515,Chirongui,20,YT,1547010000,74,-12.93,45.15,87.8,6.93
516,Odienne,12,CI,1547012111,56,9.51,-7.57,58.71,2.82
517,Ephrata,90,US,1547009700,85,47.32,-119.55,32.0,11.41
518,Verkhnyaya Inta,64,RU,1547012111,65,65.99,60.32,-8.75,3.38
519,Pasighat,48,IN,1547012111,46,28.06,95.33,62.22,2.1
520,Dembi Dolo,0,ET,1547012111,50,8.53,34.8,72.97,3.11
521,Chicama,75,PE,1547010000,88,-7.84,-79.15,73.4,6.93
522,Mbandaka,92,CD,1547012112,100,0.05,18.26,71.04,2.77
523,Fort Nelson,5,CA,1547010000,74,58.81,-122.69,-23.81,2.24
524,Baghdad,0,IQ,1547010000,81,33.3,44.38,44.6,6.93
525,Teya,75,MX,1547009040,83,21.05,-89.07,75.2,5.82
526,Burns Lake,80,CA,1547012113,78,54.23,-125.76,10.42,2.71
527,Puerto Ayacucho,24,CO,1547012113,87,5.66,-67.63,74.28,2.59
528,Northam,76,GB,1547009400,86,51.04,-4.21,37.4,4.7
529,Epitalion,90,GR,1547011200,87,37.63,21.5,50.0,12.75
530,Macheng,92,CN,1547012113,100,31.18,115.03,35.49,3.56
531,Scarborough,92,GB,1547009400,80,54.28,-0.41,39.2,8.05
532,Bonthe,32,SL,1547012114,88,7.53,-12.5,77.25,5.23
533,Ribas do Rio Pardo,68,BR,1547012114,86,-20.45,-53.76,72.03,3.33
534,Storforshei,75,NO,1547011200,80,66.4,14.52,33.8,6.93
535,Katra,0,IN,1547012114,58,32.99,74.93,53.35,2.37
536,Stokmarknes,75,NO,1547011200,100,68.56,14.91,35.6,9.17
537,Carballo,40,ES,1547010000,97,43.21,-8.69,37.4,5.82
